"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=1 Ack=1 Win=255 Len=1"
"2","0.000086","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=2 Win=909 Len=0"
"3","0.000393","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=1 Ack=1 Win=255 Len=1"
"4","0.000449","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=2 Win=911 Len=0"
"5","0.004466","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=2 Ack=1 Win=255 Len=1"
"6","0.004537","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=3 Win=909 Len=0"
"7","0.004931","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=2 Ack=1 Win=255 Len=1"
"8","0.005009","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=3 Win=911 Len=0"
"9","0.005189","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=3 Ack=1 Win=255 Len=1"
"10","0.005229","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=4 Win=909 Len=0"
"11","0.005757","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=3 Ack=1 Win=255 Len=1"
"12","0.005861","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=4 Win=911 Len=0"
"13","0.006069","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=4 Ack=1 Win=255 Len=1"
"14","0.006109","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=5 Win=909 Len=0"
"15","0.006611","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=4 Ack=1 Win=255 Len=1"
"16","0.006740","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=5 Win=911 Len=0"
"17","0.007131","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=5 Ack=1 Win=255 Len=1"
"18","0.007165","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=6 Win=909 Len=0"
"19","0.007406","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=5 Ack=1 Win=255 Len=1"
"20","0.007460","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=6 Win=911 Len=0"
"21","0.007890","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=6 Ack=1 Win=255 Len=1"
"22","0.007933","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=7 Win=909 Len=0"
"23","0.008221","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=6 Ack=1 Win=255 Len=1"
"24","0.008276","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=7 Win=911 Len=0"
"25","0.008502","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=7 Ack=1 Win=255 Len=1"
"26","0.008548","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=8 Win=909 Len=0"
"27","0.008825","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=7 Ack=1 Win=255 Len=1"
"28","0.008877","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=8 Win=911 Len=0"
"29","0.009124","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=8 Ack=1 Win=255 Len=1"
"30","0.009164","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=9 Win=909 Len=0"
"31","0.009438","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=8 Ack=1 Win=255 Len=1"
"32","0.009492","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=9 Win=911 Len=0"
"33","0.009781","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=9 Ack=1 Win=255 Len=1"
"34","0.009824","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=10 Win=909 Len=0"
"35","0.010151","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=9 Ack=1 Win=255 Len=1"
"36","0.010204","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=10 Win=911 Len=0"
"37","0.010347","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=10 Ack=1 Win=255 Len=1"
"38","0.010388","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=11 Win=909 Len=0"
"39","0.010685","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=10 Ack=1 Win=255 Len=1"
"40","0.010736","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=11 Win=911 Len=0"
"41","0.010905","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=11 Ack=1 Win=255 Len=1"
